20.184414	26.585140    1  0
30.097385	15.871879    1  0
22.927107	22.102173    1  0
25.414612	21.900032    1  0
23.633875	24.411055    1  0
25.136703	25.828688    1  0
25.692028	24.994968    1  0
18.773722	18.056154    1  0
32.666027	17.860744    1  0
27.995579	25.777700    1  0
22.832441	32.043167    1  0
26.149607	25.653231    1  0
28.266533	15.817704    1  0
15.843789	21.092020    1  0
26.680677	24.485109    1  0
21.809771	28.120232    1  0
27.575136	21.206385    1  0
23.332533	26.394869    1  0
18.434429	20.288954    1  0
27.539431	19.750925    1  0
28.609322	24.417110    1  0
21.949224	19.734999    1  0
28.227079	31.800205    1  0
27.622126	26.697689    1  0
20.178259	23.086834    1  0
22.405251	53.328083    1  0
33.264324	57.511379    1  0
16.415001	55.131866    1  0
18.362396	55.363930    1  0
28.260096	56.312752    1  0
34.278004	56.086750    1  0
31.958731	57.782608    1  0
33.510506	65.820587    1  0
21.660995	50.177132    1  0
25.934814	60.282223    1  0
24.934959	57.748623    1  0
32.586254	52.482162    1  0
24.649460	56.306190    1  0
20.012835	55.762684    1  0
30.526981	49.369995    1  0
22.636650	49.174049    1  0
22.278959	53.083168    1  0
25.263981	51.838150    1  0
29.104586	61.301819    1  0
30.066595	54.767151    1  0
20.309481	56.773075    1  0
24.615990	53.036892    1  0
23.248655	49.874367    1  0
15.988464	60.642548    1  0
24.970190	50.120850    1  0
56.789135	31.197411    1  0
49.710007	29.667500    1  0
50.706985	23.250854    1  0
52.362400	32.434010    1  0
55.179386	27.016819    1  0
58.516628	27.253614    1  0
51.430721	20.080561    1  0
49.738976	23.994301    1  0
57.176556	16.628525    1  0
62.695454	15.797640    1  0
48.669865	30.643394    1  0
51.242512	22.268835    1  0
58.453354	21.657475    1  0
55.241371	18.235989    1  0
52.826466	28.560921    1  0
61.798534	30.615864    1  0
62.941521	23.897285    1  0
50.487621	17.486969    1  0
58.812531	25.625259    1  0
53.900669	23.729654    1  0
46.301868	26.273960    1  0
51.736134	27.086096    1  0
55.246117	24.238430    1  0
53.272984	26.427595    1  0
58.651115	17.679420    1  0
52.216557	55.057377    1  0
55.379585	49.186768    1  0
60.684059	57.289780    1  0
58.537415	50.775246    1  0
58.273846	58.714645    1  0
51.376129	53.947823    1  0
53.065212	60.383812    1  0
54.708614	53.171719    1  0
48.899227	55.707447    1  0
60.214737	55.764805    1  0
57.786072	52.325722    1  0
55.650143	62.067944    1  0
48.773830	63.392796    1  0
46.856956	59.244396    1  0
54.212406	51.384995    1  0
58.413567	57.899632    1  0
47.598595	57.893288    1  0
48.295135	52.531658    1  0
50.722168	57.659313    1  0
56.722130	56.998253    1  0
62.592407	51.851254    1  0
56.196465	54.365746    1  0
58.741627	55.369457    1  0
56.398579	52.851871    1  0
51.768795	57.942875    1  0
55.022610	43.776085    0  1
42.465546	41.659859    0  1
38.232533	45.533073    0  1
48.261822	41.154327    0  1
38.722504	43.924721    0  1
33.457451	39.452778    0  1
54.412674	40.040798    0  1
35.603718	42.492992    0  1
30.221685	39.739517    0  1
40.472336	36.333759    0  1
63.159927	40.090725    0  1
42.981064	41.811348    0  1
56.222664	39.726864    0  1
53.239799	37.266460    0  1
22.254549	42.949646    0  1
40.183872	38.632771    0  1
22.619608	39.300129    0  1
49.475605	36.073284    0  1
40.049198	44.085255    0  1
35.010868	37.411938    0  1
34.877579	40.576385    0  1
44.398830	40.377460    0  1
30.690617	39.331066    0  1
27.815552	36.331924    0  1
32.979813	38.883778    0  1
32.496872	41.394817    0  1
49.678570	44.108917    0  1
27.188358	42.685658    0  1
45.461212	40.689514    0  1
63.960258	38.220749    0  1
55.992401	41.771854    0  1
58.362869	48.397572    0  1
57.822010	37.400925    0  1
54.084503	41.018826    0  1
55.485184	45.638031    0  1
18.567692	38.743214    0  1
39.384041	45.222298    0  1
47.332817	36.979839    0  1
31.740101	41.848118    0  1
32.350536	41.862545    0  1
51.388718	38.957867    0  1
37.512398	44.932369    0  1
19.894711	37.303757    0  1
60.247936	44.985691    0  1
45.975163	39.994926    0  1
37.351257	41.719723    0  1
34.593399	38.825714    0  1
38.420887	34.347477    0  1
55.835007	40.338104    0  1
48.274708	41.064728    0  1
47.043755	52.268024    0  1
36.719940	44.675282    0  1
35.829216	45.311657    0  1
41.631516	42.551853    0  1
37.345280	41.319393    0  1
39.055023	63.078331    0  1
36.757652	39.698444    0  1
42.109280	50.081524    0  1
44.394096	38.882214    0  1
40.230492	34.699829    0  1
36.439690	39.537121    0  1
36.740520	43.482475    0  1
42.183060	27.268005    0  1
41.878819	32.145958    0  1
35.115799	24.564466    0  1
44.752438	51.134155    0  1
46.409679	65.891068    0  1
38.802044	42.621407    0  1
40.864330	51.849651    0  1
42.926182	43.347168    0  1
45.020645	40.776955    0  1
43.452911	20.219978    0  1
45.285305	45.054131    0  1
39.463688	43.688957    0  1
40.140556	27.254667    0  1
38.862907	32.851997    0  1
28.616648	26.560421    0  1
32.484215	47.063423    0  1
37.537254	41.333466    0  1
40.327328	41.241020    0  1
34.764606	53.477531    0  1
41.409420	54.074696    0  1
36.461796	49.441597    0  1
34.625454	34.109200    0  1
43.148315	23.871334    0  1
33.884411	51.886505    0  1
39.818783	28.863457    0  1
36.988186	52.304802    0  1
37.104599	61.442516    0  1
44.481388	52.844585    0  1
41.466648	50.124157    0  1
37.538219	16.709381    0  1
41.038898	30.726341    0  1
33.732208	40.075161    0  1
42.431969	34.141567    0  1
44.863686	34.518692    0  1
38.829586	12.124084    0  1
42.677937	63.219791    0  1
41.681221	38.448078    0  1
35.872395	50.938942    0  1

